,train_result,test_result,training_time,test_time,k
0,1.0,0.994,1623,139,1
1,0.998,0.9935,1806,1655,2
2,0.995,0.9955,1719,1702,3
3,0.996,0.9935,1654,1615,4
4,0.995,0.995,1702,1708,5
5,0.9945,0.995,1677,1666,6
6,0.9935,0.9945,1781,1791,7
7,0.9945,0.9935,1680,1653,8
8,0.9945,0.9915,1731,1709,9
9,0.995,0.991,1780,1750,10
10,0.9925,0.9935,1833,1779,11
11,0.994,0.9885,1730,1706,12
12,0.9915,0.9895,1780,1777,13
13,0.991,0.991,1778,1782,14
14,0.992,0.991,1817,1798,15
15,0.993,0.9875,1862,1858,16
16,0.99,0.992,1801,1814,17
17,0.993,0.991,1861,1865,18
18,0.992,0.9855,1834,1822,19
19,0.992,0.9865,1838,1841,20
20,0.9905,0.988,1878,1854,21
21,0.9885,0.985,1924,1905,22
22,0.986,0.989,1905,1903,23
23,0.99,0.9885,1916,1920,24
24,0.988,0.9895,1899,1904,25
25,0.987,0.987,1838,1842,26
26,0.985,0.988,1926,1891,27
27,0.9845,0.9885,1948,1955,28
28,0.988,0.9865,1960,1961,29
29,0.985,0.986,1950,1948,30
30,0.9885,0.9825,1880,1873,31
31,0.9855,0.9875,2021,2013,32
32,0.986,0.983,1910,1906,33
33,0.9865,0.9805,1971,1967,34
34,0.9905,0.9805,2004,2004,35
35,0.9875,0.983,1980,1968,36
36,0.9845,0.9845,1920,1901,37
37,0.987,0.983,1967,1965,38
38,0.988,0.9795,1978,1984,39
39,0.983,0.985,1999,2004,40
40,0.9845,0.9805,2038,2028,41
41,0.9835,0.982,1994,2004,42
42,0.9835,0.982,2005,1997,43
43,0.983,0.982,1957,1954,44
44,0.9815,0.985,2024,2034,45
45,0.981,0.985,2030,2029,46
46,0.9795,0.9855,1988,1989,47
47,0.983,0.978,2036,2048,48
48,0.985,0.9785,2027,2016,49
49,0.9845,0.98,1959,1932,50
50,0.978,0.9845,2005,2012,51
51,0.982,0.9825,2013,1997,52
52,0.977,0.9845,2036,2022,53
53,0.9825,0.9805,2005,1996,54
54,0.983,0.9795,2080,2078,55
55,0.9795,0.984,2009,2003,56
56,0.9815,0.9785,2023,2057,57
57,0.9815,0.9805,2079,2068,58
58,0.9775,0.9825,2053,2024,59
59,0.976,0.984,2050,2062,60
60,0.979,0.978,2079,2012,61
61,0.9815,0.982,2085,2075,62
62,0.98,0.9785,2064,2037,63
63,0.9795,0.9795,2056,2048,64
64,0.9785,0.98,2033,2031,65
65,0.9825,0.974,2072,2079,66
66,0.979,0.9795,2019,2012,67
67,0.9815,0.979,2015,2013,68
68,0.9815,0.9795,2052,2049,69
69,0.9765,0.9805,2106,2090,70
70,0.981,0.978,2058,2044,71
71,0.9805,0.978,2094,2078,72
72,0.981,0.9765,2152,2136,73
73,0.978,0.978,2080,2059,74
74,0.9805,0.9725,2115,2097,75
75,0.982,0.9755,2053,2050,76
76,0.9775,0.9745,2075,2069,77
77,0.9775,0.9785,2082,2074,78
78,0.976,0.9765,2077,2072,79
79,0.978,0.975,2120,2108,80
80,0.98,0.9735,2120,2134,81
81,0.9765,0.976,2066,2065,82
82,0.979,0.973,2125,2098,83
83,0.9705,0.9795,2099,2100,84
84,0.976,0.9745,2150,2124,85
85,0.9825,0.9735,2113,2104,86
86,0.977,0.9735,2152,2164,87
87,0.9795,0.9655,2344,2183,88
88,0.974,0.9745,2280,2423,89
89,0.974,0.974,2324,2201,90
90,0.9765,0.9725,2139,2139,91
91,0.974,0.981,2071,2085,92
92,0.97,0.973,2162,2146,93
93,0.972,0.9745,2142,2142,94
94,0.9755,0.974,2212,2198,95
95,0.9735,0.9735,2224,2474,96
96,0.9755,0.9685,2093,2135,97
97,0.974,0.97,2196,2202,98
98,0.97,0.9715,2189,2133,99
99,0.9725,0.973,2179,2368,100
